idno,psu,stratify,TVTOT,TRSTPLC,VOTE,LRSCALE,STFLIFE,STFECO,STFGOV,HEALTH,GNDR,AGEA,EISCED,DWEIGHT,PSPWGHT,male,agecat,marcat,voted_lastelection,lr3cat
904,207807,North-Western FO,3,2,1,7,10,7,8,2,2,23,7,0.33,0.4,0,1,3,1,3
914,208807,North-Western FO,7,3,2,7,5,5,4,3,2,36,5,0.31,0.28,0,2,3,0,3
915,208807,North-Western FO,6,3,2,8,3,5,6,3,2,33,4,0.31,0.33,0,2,2,0,3
920,208807,North-Western FO,6,4,1,8,9,6,4,2,2,28,7,0.94,1.13,0,1,3,1,3
921,208807,North-Western FO,7,4,2,8,6,4,5,3,1,43,4,0.31,0.48,1,2,3,0,3
925,208807,North-Western FO,4,1,2,5,5,5,2,2,1,38,4,0.63,0.95,1,2,1,0,2
927,208807,North-Western FO,3,0,2,88,5,2,3,3,1,82,5,0.31,0.35,1,4,2,0,
928,208807,North-Western FO,7,3,1,4,7,2,3,3,1,44,7,0.63,0.67,1,2,1,1,1
929,208807,North-Western FO,7,3,1,2,7,2,3,3,1,45,4,0.63,0.95,1,3,1,1,1
930,208807,North-Western FO,6,3,1,7,9,7,5,3,2,61,5,0.31,0.34,0,4,2,1,3
934,208807,North-Western FO,7,5,1,8,8,7,7,2,2,30,7,0.94,1.13,0,2,1,1,3
935,209807,North-Western FO,3,3,1,5,6,3,2,3,2,37,5,0.35,0.31,0,2,3,1,2
943,209807,North-Western FO,7,3,1,6,6,3,4,3,2,60,4,0.35,0.37,0,4,2,1,3
945,209807,North-Western FO,4,4,2,5,7,5,5,2,2,29,5,0.69,0.72,0,1,1,0,2
946,209807,North-Western FO,0,4,2,3,6,4,5,2,1,36,4,0.69,1.05,1,2,1,0,1
952,209807,North-Western FO,1,1,1,6,7,4,3,3,2,58,7,0.35,0.25,0,3,2,1,3
955,209807,North-Western FO,7,6,1,5,8,5,7,2,1,71,7,0.35,0.56,1,4,2,1,2
961,210807,North-Western FO,2,3,1,10,8,5,3,2,2,34,7,0.3,0.36,0,2,2,1,3
965,210807,North-Western FO,3,1,2,9,7,5,2,2,2,36,7,0.6,0.5,0,2,2,0,3
967,210807,North-Western FO,6,4,1,5,7,5,3,2,2,64,5,0.9,0.96,0,4,1,1,2
968,210807,North-Western FO,3,3,2,7,7,7,2,3,1,39,2,0.9,1.71,1,2,1,0,3
970,210807,North-Western FO,4,2,1,7,7,8,2,2,1,24,7,0.6,0.79,1,1,3,1,3
971,210807,North-Western FO,4,1,2,8,7,7,5,2,1,25,7,0.6,0.79,1,1,3,0,3
972,210807,North-Western FO,1,1,1,7,6,7,3,2,2,39,7,0.6,0.5,0,2,1,1,3
973,210807,North-Western FO,5,1,1,7,10,3,5,2,2,71,7,0.6,0.43,0,4,2,1,3
977,210807,North-Western FO,2,2,1,10,6,4,2,2,2,33,4,0.6,0.62,0,2,2,1,3
980,210807,North-Western FO,3,1,2,88,7,4,2,4,2,82,7,0.3,0.21,0,4,2,0,
981,210807,North-Western FO,4,0,2,88,7,6,3,3,1,37,2,0.6,1.14,1,2,1,0,
1004,101,North-Western FO,,3,,88,8,4,,2,2,31,4,0.42,0.44,0,2,,,
1007,101,North-Western FO,6,1,1,7,1,1,2,3,2,87,1,0.42,0.83,0,4,2,1,3
1013,101,North-Western FO,6,6,2,88,8,7,8,2,1,32,4,1.27,1.5,1,2,1,0,
1016,101,North-Western FO,7,3,1,7,3,4,3,2,1,19,4,0.85,1,1,1,3,1,3
1020,101,North-Western FO,4,1,2,9,5,5,5,2,1,30,7,0.79,1.05,1,2,1,0,3
1021,101,North-Western FO,1,2,2,88,3,0,1,3,2,52,7,0.4,0.33,0,3,2,0,
1023,101,North-Western FO,0,5,3,5,5,4,4,2,1,,5,0.4,0.4,1,,,0,2
1024,101,North-Western FO,5,,2,88,3,,,5,2,78,1,0.4,0.78,0,4,,0,
1027,101,North-Western FO,2,2,2,5,4,3,4,2,1,20,5,0.79,0.94,1,1,3,0,2
1029,101,North-Western FO,1,3,1,5,,,3,3,1,72,5,0.79,0.88,1,4,1,1,2
1031,101,North-Western FO,6,,1,8,3,,,4,2,67,2,0.79,1.55,0,4,1,1,3
1038,101,North-Western FO,5,4,1,88,6,5,6,3,1,75,5,0.79,0.88,1,4,1,1,
1041,101,North-Western FO,2,3,2,88,3,,5,2,1,24,5,1.59,1.87,1,1,3,0,
1062,102,North-Western FO,3,4,2,88,6,3,3,3,2,50,7,0.89,0.75,0,3,1,0,
1070,102,North-Western FO,6,5,2,6,2,4,3,3,2,36,5,1.13,1,0,2,1,0,3
1073,102,North-Western FO,6,4,2,88,7,3,3,,2,21,5,2.25,2.34,0,1,3,0,
1074,102,North-Western FO,3,6,1,5,4,4,5,3,2,53,7,1.48,1.25,0,3,1,1,2
1075,102,North-Western FO,7,1,2,88,0,1,0,,2,78,7,0.3,0.21,0,4,2,0,
1076,102,North-Western FO,7,,1,0,3,0,2,4,1,54,7,1.19,1.27,1,3,1,1,1
1077,102,North-Western FO,6,5,1,88,4,4,4,3,2,50,5,1.19,1.06,0,3,2,1,
1078,102,North-Western FO,7,5,1,5,5,5,5,3,2,66,5,0.59,0.64,0,4,1,1,2
1079,102,North-Western FO,6,5,1,88,7,5,,3,2,73,5,0.59,0.64,0,4,1,1,
1080,102,North-Western FO,1,5,2,88,5,,,2,1,60,4,0.59,0.66,1,4,1,0,
1081,102,North-Western FO,0,,2,88,2,2,3,3,2,43,4,0.3,0.26,0,2,2,0,
1082,102,North-Western FO,1,,,88,7,4,5,2,1,40,4,0.3,0.45,1,2,2,,
1083,102,North-Western FO,0,5,2,88,6,,,4,1,41,4,0.3,0.45,1,2,2,0,
1084,102,North-Western FO,1,4,2,88,6,3,3,3,2,54,4,0.59,0.53,0,3,2,0,
1086,102,North-Western FO,0,5,2,88,6,,,2,2,57,4,1.69,1.82,0,3,1,0,
1089,102,North-Western FO,1,5,2,88,7,,,3,2,50,4,1.69,1.51,0,3,2,0,
1104,103,North-Western FO,3,2,1,9,5,2,5,3,2,59,7,0.55,0.39,0,3,2,1,3
1105,103,North-Western FO,1,8,1,5,5,7,8,3,2,74,5,0.55,0.59,0,4,2,1,2
1107,103,North-Western FO,3,0,1,5,3,2,4,3,2,55,5,1.65,1.78,0,3,2,1,2
1108,103,North-Western FO,5,5,1,2,5,3,3,2,1,23,7,1.65,2.18,1,1,3,1,1
1110,103,North-Western FO,2,0,1,88,4,3,0,2,1,37,7,1.65,1.77,1,2,,1,
1112,103,North-Western FO,7,10,1,6,4,8,9,2,1,56,5,0.68,0.76,1,3,,1,3
1113,103,North-Western FO,5,5,1,5,3,3,4,2,1,32,5,1.36,1.61,1,2,1,1,2
1117,103,North-Western FO,3,5,1,7,9,7,7,2,2,45,4,2.04,1.82,0,3,2,1,3
1118,103,North-Western FO,4,10,1,5,7,5,5,3,2,48,5,1.36,1.21,0,3,3,1,2
1121,103,North-Western FO,1,9,3,9,1,9,2,1,1,15,2,3.4,4,1,1,3,0,3
1123,103,North-Western FO,2,5,1,5,6,3,3,3,2,73,2,0.55,1.08,0,4,2,1,2
1124,103,North-Western FO,7,3,1,6,4,2,4,3,2,20,4,1.1,1.14,0,1,3,1,3
1125,103,North-Western FO,0,0,1,0,3,0,3,3,2,63,5,1.1,1.18,0,4,2,1,1
1154,104,North-Western FO,4,1,2,4,2,3,4,2,2,24,6,0.41,0.49,0,1,3,0,1
1157,104,North-Western FO,2,1,2,4,2,3,4,2,2,32,6,0.41,0.49,0,2,3,0,1
1158,104,North-Western FO,5,1,2,5,2,4,5,2,1,37,5,2.43,3.7,1,2,1,0,2
1160,104,North-Western FO,7,1,2,4,2,4,3,3,2,62,7,0.81,0.58,0,4,1,0,1
1161,104,North-Western FO,5,2,1,4,3,4,4,3,2,41,7,1.22,1.02,0,2,1,1,1
1167,104,North-Western FO,5,2,2,5,2,4,4,3,1,34,4,1.14,1.35,1,2,3,0,2
1169,104,North-Western FO,4,0,2,4,4,1,7,3,1,36,7,1.14,1.22,1,2,2,0,1
1170,104,North-Western FO,7,3,1,4,2,4,3,4,2,75,2,0.57,1.12,0,4,2,1,1
1171,104,North-Western FO,7,2,1,5,3,3,4,3,2,55,5,0.57,0.62,0,3,2,1,2
1172,104,North-Western FO,7,1,2,4,2,4,3,3,2,59,5,0.57,0.62,0,3,2,0,1
1173,104,North-Western FO,7,1,2,5,5,5,5,3,2,57,7,1.72,1.22,0,3,1,0,2
1174,104,North-Western FO,6,2,1,4,2,3,4,3,2,50,5,0.57,0.51,0,3,2,1,1
1201,105,North-Western FO,7,,1,5,6,6,3,3,2,56,7,0.67,0.48,0,3,3,1,2
1209,105,North-Western FO,2,,2,88,8,3,2,2,1,31,7,0.84,1.11,1,2,1,0,
1210,105,North-Western FO,4,5,1,88,6,6,8,2,2,62,7,0.42,0.3,0,4,2,1,
1215,105,North-Western FO,0,2,2,88,8,6,8,3,2,40,7,0.42,0.35,0,2,3,0,
1217,105,North-Western FO,2,5,2,5,5,0,0,3,1,27,5,0.33,0.39,1,1,3,0,2
1218,105,North-Western FO,6,6,1,88,3,5,10,4,2,59,4,0.33,0.36,0,3,2,1,
1224,105,North-Western FO,1,0,2,6,2,2,4,2,2,47,7,1,0.85,0,3,1,0,3
1228,105,North-Western FO,7,5,1,88,3,6,8,4,2,75,2,0.33,0.66,0,4,2,1,
1229,105,North-Western FO,7,6,1,5,3,5,7,4,1,71,2,0.33,0.52,1,4,2,1,2
1230,105,North-Western FO,7,7,1,2,4,3,3,4,2,64,7,0.33,0.24,0,4,2,1,1
1233,105,North-Western FO,7,5,1,6,6,4,5,3,1,53,5,1.26,1.91,1,3,1,1,3
1238,105,North-Western FO,6,3,2,5,4,3,6,4,1,57,4,1.26,1.4,1,3,1,0,2
1242,105,North-Western FO,6,5,1,88,7,,8,3,2,63,5,0.42,0.45,0,4,2,1,
1247,105,North-Western FO,4,5,1,88,6,7,7,3,2,51,5,0.42,0.37,0,3,2,1,
1248,105,North-Western FO,5,3,1,5,2,2,5,4,1,65,2,0.67,1.03,1,4,1,1,2
1249,105,North-Western FO,4,3,1,5,3,3,6,4,2,65,2,0.33,0.66,0,4,,1,2
1250,105,North-Western FO,0,4,1,6,6,4,6,2,1,41,5,0.33,0.51,1,2,3,1,3
1251,106,North-Western FO,1,5,2,5,7,7,9,2,2,34,7,1.57,1.9,0,2,2,0,2
1253,106,North-Western FO,1,0,1,5,6,5,0,3,2,19,4,1.57,1.63,0,1,3,1,2
1254,106,North-Western FO,0,0,1,5,10,0,0,3,2,37,4,0.52,0.47,0,2,2,1,2
1255,106,North-Western FO,7,0,1,1,6,1,0,2,1,48,5,1.05,1.59,1,3,1,1,1
1256,106,North-Western FO,7,1,2,7,3,3,3,4,1,72,2,1.05,1.62,1,4,1,0,3
1257,106,North-Western FO,7,0,2,3,5,5,5,4,2,66,4,0.52,0.56,0,4,2,0,1
1259,106,North-Western FO,5,2,3,5,9,6,8,2,2,17,4,2.1,2.18,0,1,3,0,2
1260,106,North-Western FO,2,5,1,5,7,7,8,1,1,45,7,2.62,2.81,1,3,1,1,2
1261,106,North-Western FO,7,2,2,6,7,6,6,3,2,70,4,0.52,0.56,0,4,2,0,3
1263,106,North-Western FO,6,5,2,5,8,6,5,2,2,22,6,1.54,1.86,0,1,3,0,2
1264,106,North-Western FO,4,3,2,5,7,4,5,2,2,43,5,1.54,1.37,0,2,3,0,2
1265,106,North-Western FO,7,7,2,5,6,5,5,3,2,68,2,1.02,2.01,0,4,1,0,2
1267,106,North-Western FO,5,1,1,3,6,2,3,2,2,39,7,1.54,1.29,0,2,1,1,1
1270,106,North-Western FO,2,6,2,5,4,5,4,2,2,38,7,1.02,0.86,0,2,2,0,2
1271,106,North-Western FO,3,5,2,5,7,6,6,2,2,29,7,0.51,0.62,0,1,3,0,2
1272,106,North-Western FO,2,5,2,88,7,7,7,2,1,25,5,0.51,0.6,1,1,3,0,
1273,106,North-Western FO,3,6,1,5,7,7,8,2,2,32,7,1.02,1.24,0,2,3,1,2
1301,107,North-Western FO,5,10,1,10,10,10,10,3,2,56,2,0.86,1.69,0,3,1,1,3
1303,107,North-Western FO,7,8,1,5,6,4,6,3,2,47,5,0.86,0.77,0,3,2,1,2
1305,107,North-Western FO,7,6,1,88,6,3,3,3,2,60,4,0.86,0.93,0,4,,1,
1306,107,North-Western FO,7,6,3,5,10,1,2,2,2,16,2,1.29,1.86,0,1,3,0,2
1307,107,North-Western FO,5,0,2,0,2,0,0,4,2,63,4,0.86,0.93,0,4,2,0,1
1308,107,North-Western FO,6,10,3,8,8,2,5,2,2,17,4,0.86,0.89,0,1,3,0,3
1309,107,North-Western FO,3,0,1,1,,0,4,4,1,77,1,0.86,1.33,1,4,1,1,1
1310,107,North-Western FO,7,5,1,0,2,5,4,4,1,67,7,0.86,1.4,1,4,1,1,1
1311,107,North-Western FO,3,5,1,5,5,8,8,2,2,55,7,0.86,0.61,0,3,2,1,2
1313,107,North-Western FO,7,5,1,5,7,7,7,3,2,64,4,1.16,1.25,0,4,1,1,2
1314,107,North-Western FO,2,7,1,6,8,9,7,4,2,70,4,2.32,2.49,0,4,1,1,3
1316,107,North-Western FO,6,7,1,1,5,2,7,4,2,66,7,1.16,0.82,0,4,1,1,1
1317,107,North-Western FO,7,0,1,5,5,0,5,3,2,64,4,1.16,1.25,0,4,1,1,2
1319,107,North-Western FO,3,0,1,5,5,5,5,3,1,54,4,1.16,1.76,1,3,1,1,2
1320,107,North-Western FO,6,6,1,1,10,5,5,3,2,61,7,1.16,0.82,0,4,1,1,1
1321,107,North-Western FO,2,3,2,5,7,6,5,3,1,35,2,1.16,2.21,1,2,1,0,2
1322,107,North-Western FO,5,5,1,2,5,5,1,2,1,33,2,1.16,1.95,1,2,1,1,1
1323,107,North-Western FO,7,5,1,5,6,5,5,3,2,49,5,0.58,0.52,0,3,2,1,2
1351,108,North-Western FO,7,5,1,1,7,1,3,3,2,60,7,0.37,0.26,0,4,2,1,1
1355,108,North-Western FO,4,7,1,4,8,7,9,2,1,33,7,0.73,0.96,1,2,1,1,1
1359,108,North-Western FO,6,2,2,8,6,3,4,4,2,62,4,0.37,0.39,0,4,3,0,3
1360,108,North-Western FO,5,6,1,4,8,6,6,3,2,43,7,1.1,0.92,0,2,1,1,1
1362,108,North-Western FO,7,5,1,6,8,4,9,3,2,62,5,0.73,0.79,0,4,2,1,3
1363,108,North-Western FO,2,4,2,5,4,4,5,2,1,38,4,0.73,1.11,1,2,2,0,2
1364,108,North-Western FO,4,5,2,5,8,,,3,2,42,7,0.37,0.31,0,2,2,0,2
1366,108,North-Western FO,1,6,2,88,1,5,,5,1,66,2,0.37,0.56,1,4,2,0,
1368,108,North-Western FO,7,8,2,88,6,,8,4,2,71,2,0.54,1.06,0,4,2,0,
1371,108,North-Western FO,4,3,1,4,8,2,3,3,1,30,5,0.54,0.64,1,2,2,1,1
1374,108,North-Western FO,5,5,1,4,7,5,4,2,2,30,6,0.54,0.65,0,2,3,1,1
1375,108,North-Western FO,4,3,2,5,6,3,5,2,1,33,4,1.08,1.27,1,2,1,0,2
1381,108,North-Western FO,5,6,1,5,5,3,6,4,2,72,2,0.54,1.06,0,4,2,1,2
1384,108,North-Western FO,0,6,2,6,6,6,6,3,2,41,5,0.73,0.65,0,2,2,0,3
1387,108,North-Western FO,7,2,2,9,3,4,6,3,1,58,5,0.73,0.81,1,3,1,0,3
1390,108,North-Western FO,7,5,3,88,4,,,2,2,18,4,0.73,0.76,0,1,,0,
1397,108,North-Western FO,3,3,2,3,6,6,5,2,1,32,7,0.73,0.96,1,2,2,0,1
1401,109,North-Western FO,7,4,1,5,5,5,5,3,2,80,5,0.82,0.88,0,4,2,1,2
1402,109,North-Western FO,4,3,1,88,7,3,3,2,1,64,2,0.82,1.27,1,4,2,1,
1403,109,North-Western FO,0,4,2,88,5,5,5,2,1,27,4,1.64,1.94,1,1,3,0,
1404,109,North-Western FO,6,3,1,5,5,4,5,3,2,60,5,0.82,0.88,0,4,2,1,2
1405,109,North-Western FO,4,4,1,5,5,5,6,4,2,64,4,0.82,0.88,0,4,2,1,2
1406,109,North-Western FO,7,4,1,88,6,5,5,3,1,66,2,1.64,2.54,1,4,1,1,
1407,109,North-Western FO,6,2,2,5,5,5,5,3,2,55,5,0.82,0.88,0,3,2,0,2
1408,109,North-Western FO,,2,2,88,0,0,1,2,1,43,4,2.47,3.75,1,2,2,0,
1409,109,North-Western FO,2,5,2,88,6,0,0,2,1,31,7,1.64,2.17,1,2,2,0,
1410,109,North-Western FO,1,3,1,5,7,3,4,3,2,54,7,0.82,0.69,0,3,2,1,2
1411,109,North-Western FO,7,2,2,88,4,2,2,3,1,52,4,1.64,2.5,1,3,1,0,
1412,109,North-Western FO,4,2,1,88,8,3,,4,2,52,5,0.82,0.73,0,3,2,1,
1451,109,North-Western FO,6,,1,88,5,2,2,3,2,66,2,2.13,4,0,4,2,1,
1452,109,North-Western FO,6,5,1,6,6,5,5,3,1,59,5,2.13,2.36,1,3,1,1,3
1453,109,North-Western FO,0,3,1,6,5,4,1,1,1,20,4,2.13,2.51,1,1,3,1,3
1454,109,North-Western FO,4,7,1,7,3,3,5,4,2,53,4,2.13,1.9,0,3,3,1,3
1455,109,North-Western FO,2,2,1,5,6,4,5,3,1,47,7,4,4,1,3,1,1,2
1456,109,North-Western FO,7,0,2,5,10,0,0,2,1,30,4,2.13,2.51,1,2,3,0,2
1457,109,North-Western FO,0,0,2,88,6,0,0,3,1,47,5,2.13,3.23,1,3,1,0,
1458,109,North-Western FO,2,4,1,5,3,4,3,3,2,40,7,3.19,2.69,0,2,2,1,2
1459,109,North-Western FO,4,0,2,0,0,0,0,3,2,65,7,3.19,2.27,0,4,1,0,1
1460,109,North-Western FO,7,5,1,8,5,7,5,2,2,42,4,1.06,0.95,0,2,2,1,3
2002,221807,Central FO,2,1,1,5,7,4,4,3,2,46,4,0.72,0.57,0,3,2,1,2
2003,221807,Central FO,7,6,1,5,5,3,4,2,1,44,7,1.44,1.37,1,2,1,1,2
2004,221807,Central FO,7,,2,88,5,1,5,3,2,44,4,1.44,1.14,0,2,1,0,
2005,221807,Central FO,7,3,1,88,3,2,4,3,2,50,4,0.36,0.29,0,3,2,1,
2009,221807,Central FO,4,6,1,6,6,4,4,2,2,19,5,0.36,0.33,0,1,3,1,3
2013,222807,Central FO,1,1,2,7,5,3,1,3,1,32,7,0.82,0.97,1,2,1,0,3
2014,222807,Central FO,6,3,1,7,5,4,4,3,2,52,7,0.41,0.31,0,3,2,1,3
2015,222807,Central FO,3,0,2,5,5,5,5,3,1,19,4,1.23,1.3,1,1,3,0,2
2016,222807,Central FO,5,1,1,5,4,4,3,3,1,58,5,0.82,0.81,1,3,1,1,2
2019,222807,Central FO,4,0,1,5,3,2,1,3,1,37,7,0.82,0.78,1,2,1,1,2
2022,222807,Central FO,3,0,1,5,5,2,2,3,2,46,7,0.82,0.62,0,3,2,1,2
2024,222807,Central FO,7,2,2,88,7,4,3,2,2,24,6,0.41,0.44,0,1,3,0,
2025,222807,Central FO,7,0,1,88,5,0,,5,2,45,2,0.82,1,0,3,2,1,
2026,222807,Central FO,7,0,1,88,5,0,,3,2,43,5,0.41,0.33,0,2,3,1,
2030,221807,Central FO,1,2,2,5,4,2,1,3,1,27,5,0.36,0.38,1,1,3,0,2
2031,221807,Central FO,3,2,2,5,4,2,3,2,2,55,5,0.72,0.69,0,3,1,0,2
2032,221807,Central FO,1,1,2,6,3,4,6,3,1,44,5,0.72,0.97,1,2,1,0,3
2033,221807,Central FO,3,2,1,4,5,4,3,3,2,60,7,0.36,0.23,0,4,2,1,1
2038,221807,Central FO,0,2,2,4,5,3,4,3,2,34,7,0.72,0.77,0,2,3,0,1
2051,201,Central FO,7,1,1,2,7,2,2,3,2,37,6,1.28,0.96,0,2,2,1,1
2052,201,Central FO,5,4,2,5,5,8,8,3,2,24,6,0.86,0.92,0,1,1,0,2
2054,201,Central FO,5,3,1,4,9,4,3,2,2,39,5,1.28,1.02,0,2,1,1,1
2055,201,Central FO,1,0,2,0,4,3,6,3,2,29,5,0.86,0.79,0,1,3,0,1
2057,201,Central FO,3,2,2,5,5,3,6,1,2,37,7,1.71,1.29,0,2,3,0,2
2058,201,Central FO,4,0,1,5,5,0,3,3,2,19,4,1.28,1.19,0,1,3,1,2
2059,201,Central FO,2,7,2,88,7,5,0,3,2,45,7,1.71,1.29,0,3,1,0,
2060,201,Central FO,6,4,1,88,5,7,6,2,2,30,5,0.86,0.79,0,2,1,1,
2061,201,Central FO,5,7,1,88,0,0,5,3,2,64,5,0.86,0.82,0,4,1,1,
2064,201,Central FO,0,4,2,88,7,5,6,2,2,37,7,1.28,0.96,0,2,1,0,
2066,201,Central FO,1,1,1,5,5,5,8,3,2,65,7,1.28,0.81,0,4,1,1,2
2067,201,Central FO,4,5,1,5,4,3,5,3,2,63,7,1.71,1.09,0,4,1,1,2
2068,201,Central FO,7,4,1,4,2,3,5,3,2,50,7,1.71,1.29,0,3,1,1,1
2075,201,Central FO,4,8,1,5,5,3,7,2,2,26,7,2.15,2.32,0,1,1,1,2
2103,202,Central FO,4,2,2,6,7,0,6,3,1,39,6,0.73,0.7,1,2,1,0,3
2104,202,Central FO,0,2,2,5,6,0,6,3,2,22,4,1.1,1.02,0,1,3,0,2
2105,202,Central FO,5,2,1,5,6,0,6,3,2,64,4,0.73,0.7,0,4,1,1,2
2106,202,Central FO,5,3,1,6,5,0,5,3,1,46,5,0.73,0.99,1,3,1,1,3
2107,202,Central FO,0,3,2,5,5,1,5,2,1,27,7,0.73,0.86,1,1,1,0,2
2109,202,Central FO,0,3,2,4,5,0,7,2,1,25,4,0.73,0.77,1,1,1,0,1
2111,202,Central FO,0,2,1,5,8,0,7,2,1,29,4,1.1,1.16,1,1,1,1,2
2112,202,Central FO,5,0,1,5,5,0,5,3,1,46,6,1.46,1.4,1,3,1,1,2
2113,202,Central FO,0,1,3,5,10,3,9,2,2,17,4,1.46,1.35,0,1,3,0,2
2115,202,Central FO,4,0,1,5,5,0,6,3,2,65,7,0.37,0.23,0,4,2,1,2
2116,202,Central FO,4,1,1,6,7,0,7,3,2,65,7,0.37,0.23,0,4,2,1,3
2117,202,Central FO,0,3,2,6,7,0,8,2,1,20,4,1.1,1.16,1,1,3,0,3
2119,202,Central FO,4,4,2,7,3,0,5,3,2,63,5,0.37,0.35,0,4,2,0,3
2120,202,Central FO,4,2,1,9,5,0,5,3,2,73,5,0.73,0.7,0,4,1,1,3
2121,202,Central FO,6,0,2,5,7,2,7,2,2,22,7,0.37,0.39,0,1,3,0,2
2125,202,Central FO,4,2,1,6,3,0,4,3,2,44,4,0.73,0.58,0,2,1,1,3
2126,202,Central FO,4,3,1,6,5,0,4,3,1,49,4,1.46,1.98,1,3,1,1,3
2127,202,Central FO,6,1,2,5,4,1,6,2,1,25,7,0.73,0.86,1,1,1,0,2
2128,202,Central FO,7,2,1,10,10,0,3,2,1,37,5,1.83,2.48,1,2,1,1,3
2151,203,Central FO,7,4,1,5,8,8,6,3,1,65,4,0.3,0.3,1,4,2,1,2
2152,203,Central FO,1,5,1,8,9,5,5,3,1,54,5,0.61,0.83,1,3,1,1,3
2154,203,Central FO,0,0,1,88,5,3,3,3,2,40,5,0.91,0.73,0,2,2,1,
2161,203,Central FO,6,5,2,5,5,5,5,2,2,33,5,0.3,0.28,0,2,2,0,2
2162,203,Central FO,6,10,1,8,10,9,7,3,2,80,5,0.91,0.88,0,4,2,1,3
2163,203,Central FO,4,7,1,5,8,6,6,2,2,24,7,0.91,0.98,0,1,3,1,2
2164,203,Central FO,2,7,1,6,9,6,6,2,1,25,5,0.61,0.64,1,1,1,1,3
2167,203,Central FO,7,5,2,8,6,4,8,3,2,63,4,0.45,0.43,0,4,2,0,3
2168,203,Central FO,5,3,1,88,9,8,4,3,2,64,5,0.89,0.85,0,4,2,1,
2169,203,Central FO,4,6,1,5,8,2,5,2,2,62,4,0.45,0.43,0,4,2,1,2
2170,203,Central FO,3,2,2,5,7,2,2,3,2,52,5,0.89,0.71,0,3,1,0,2
2171,203,Central FO,1,3,2,5,6,3,3,2,1,23,5,1.78,1.88,1,1,3,0,2
2172,203,Central FO,0,1,2,5,7,6,6,2,1,33,5,0.89,0.94,1,2,1,0,2
2173,203,Central FO,3,5,1,8,6,5,7,4,2,54,7,0.45,0.33,0,3,2,1,3
2174,203,Central FO,7,3,1,4,3,1,2,3,2,48,4,1.34,1.06,0,3,3,1,1
2178,203,Central FO,5,2,1,5,7,2,3,3,2,39,5,1.34,1.06,0,2,1,1,2
2180,203,Central FO,7,0,2,5,7,1,0,2,2,23,4,1.78,1.65,0,1,3,0,2
2183,203,Central FO,6,3,2,5,7,6,4,4,1,79,1,0.3,0.42,1,4,2,0,2
2184,203,Central FO,2,5,1,7,8,7,3,2,2,22,7,0.61,0.66,0,1,3,1,3
2185,203,Central FO,7,1,1,88,8,8,5,4,2,39,7,0.91,0.69,0,2,1,1,
2251,204,Central FO,6,3,2,3,5,4,4,3,1,36,5,0.96,1.31,1,2,2,0,1
2252,204,Central FO,5,5,2,88,6,5,6,3,2,22,4,0.48,0.45,0,1,3,0,
2253,204,Central FO,4,6,1,88,5,6,6,3,2,43,4,0.48,0.38,0,2,2,1,
2254,204,Central FO,6,7,1,88,7,7,8,3,1,43,7,1.45,1.38,1,2,1,1,
2255,204,Central FO,5,7,1,6,7,7,7,3,2,45,4,0.48,0.38,0,3,2,1,3
2256,204,Central FO,0,7,2,88,6,5,,1,1,36,4,0.48,0.65,1,2,3,0,
2257,204,Central FO,2,6,1,2,7,4,5,2,2,32,7,0.96,1.04,0,2,3,1,1
2258,204,Central FO,4,5,2,88,5,2,5,4,1,64,7,0.48,0.7,1,4,2,0,
2259,204,Central FO,6,2,1,6,4,4,9,3,2,35,7,0.96,0.72,0,2,1,1,3
2260,204,Central FO,4,5,1,88,2,2,5,3,2,44,5,0.96,0.77,0,2,3,1,
2261,204,Central FO,4,5,1,7,2,2,2,2,2,35,7,0.48,0.36,0,2,2,1,3
2262,204,Central FO,1,0,2,5,7,,,2,1,32,5,1.45,1.52,1,2,1,0,2
2265,204,Central FO,5,5,1,1,4,2,2,3,2,70,4,0.5,0.48,0,4,2,1,1
2266,204,Central FO,5,2,2,88,6,,6,1,1,27,7,0.99,1.17,1,1,3,0,
2267,204,Central FO,3,4,1,3,5,3,3,2,1,60,5,0.5,0.49,1,4,2,1,1
2268,204,Central FO,2,3,1,88,7,2,2,1,1,38,5,0.99,1.34,1,2,1,1,
2269,204,Central FO,1,1,2,5,6,,,2,1,30,5,0.99,1.04,1,2,1,0,2
2270,204,Central FO,4,4,1,2,5,3,3,2,1,64,5,0.5,0.49,1,4,2,1,1
2271,204,Central FO,3,2,1,88,8,2,2,1,1,32,5,0.99,1.04,1,2,1,1,
2301,205,Central FO,7,0,3,5,,2,1,3,2,16,2,1.16,1.49,0,1,3,0,2
2302,205,Central FO,7,5,1,7,6,7,4,2,1,21,5,1.16,1.22,1,1,1,1,3
2303,205,Central FO,,5,2,4,5,6,4,3,2,48,4,1.16,0.92,0,3,,0,1
2304,205,Central FO,7,6,1,6,5,5,5,3,2,45,5,2.31,1.84,0,3,1,1,3
2305,205,Central FO,7,5,2,5,5,4,6,2,2,25,5,1.16,1.07,0,1,1,0,2
2306,205,Central FO,7,6,1,7,6,6,4,3,2,21,4,1.16,1.07,0,1,3,1,3
2307,205,Central FO,7,6,2,6,6,5,5,3,2,22,5,1.74,1.61,0,1,3,0,3
2309,205,Central FO,7,5,2,4,6,7,4,3,2,38,5,1.16,0.92,0,2,2,0,1
2310,205,Central FO,7,4,1,4,5,6,4,3,2,45,5,1.74,1.38,0,3,1,1,1
